institution,latitude,longitude,is_elite,number_of_authors
Gateshead Council,54.95991516,-1.60494506,0,4
Gatsby Charitable Foundation,37.14321899,47.23596191,0,1
Gauhati Medical College and Hospital,26.16040421,91.76786804,0,2
Gauhati University,26.15369987,91.66339874,0,2
Gautam Buddha University,28.42173195,77.52532959,0,5
Gazi University,39.93823624,32.82188797,0,10
Gazi University,39.93823624,32.82188797,1,1
Gaziantep Children's Hospital,37.06584167,37.37607956,0,1
Gaziantep University,37.0868988,37.3443985,0,9
Gaziantep University,37.0868988,37.3443985,1,1
Gaziosmanpaşa University,41.05728,28.91605,0,1
Gazprom (Russia),64.68630981,97.74530792,0,2
Gdańsk Medical University,54.36349106,18.62737465,0,3
Gdańsk University of Technology,54.349019,18.651801,0,20
Gdynia Maritime University,54.51649857,18.54027367,0,5
Gebze Technical University,40.80805969,29.35667038,0,3
Geisinger Health System,40.96969986,-76.60461426,0,7
Geisinger Health System,40.96969986,-76.60461426,1,4
Geisinger Medical Center,40.96969986,-76.60461426,0,6
Geisinger Medical Center,40.96969986,-76.60461426,1,1
Gembloux Agro-Bio Tech,50.56230164,4.6960001,0,11
Gembloux Agro-Bio Tech,50.56230164,4.6960001,1,4
Gemeente Leiden,52.16108704,4.49015284,0,1
General Atomics (United States),39.50357056,-99.01834106,0,5
General Electric (France),46.62480927,2.45837498,0,1
General Electric (India),22.35250664,79.36367798,0,7
General Electric (Spain),40.3901062,-3.55436611,0,1
General Electric (United States),45.07854843,-110.78188324,0,5
General Electric (United States),45.07854843,-110.78188324,1,1
General Hospital of Athens G. Genimatas,37.97556305,23.73483276,0,5
General Hospital of Guangzhou Military Command,23.12907982,113.26435852,0,1
General Motors (India),22.35250664,79.36367798,0,1
General Motors (United States),39.50357056,-99.01834106,0,5
General Motors (United States),39.50357056,-99.01834106,1,1
General-Maternity District Hospital Helena Venizelou,46.59107208,-112.020401,0,2
Genome British Columbia,54.5625,-125.11655426,0,7
Genome British Columbia,54.5625,-125.11655426,1,2
Genome Canada,62.57398605,-96.60810852,0,1
Genome Institute of Singapore,1.35652304,103.80859375,0,3
Genome Institute of Singapore,1.35652304,103.80859375,1,2
Genomic Health (United States),44.9324379,-123.03337097,1,1
Genomics (United Kingdom),53.9438324,-2.55056405,0,1
Genomics Institute of the Novartis Research Foundation,-37.70576477,145.18823242,0,1
Genomics Institute of the Novartis Research Foundation,-37.70576477,145.18823242,1,2
Genopole (France),46.62480927,2.45837498,0,1
Gentofte Hospital,55.73911285,12.54668331,0,2
Gentofte Hospital,55.73911285,12.54668331,1,2
Genus (United States),39.50357056,-99.01834106,0,1
GeoInformation (United Kingdom),53.9438324,-2.55056405,1,2
Geodetic Institute of Slovenia,46.11994553,14.81533337,0,1
Geographic Institute Agustín Codazzi,9.94921589,-73.22357941,0,1
Geological Survey Department,61.43735123,13.24061203,0,3
Geological Survey of Denmark and Greenland,55.92668152,8.99186993,0,1
Geological Survey of Japan,36.65415573,137.9765625,0,1
Geometric (India),22.35250664,79.36367798,0,2
Geometric (India),22.35250664,79.36367798,1,3
George Institute for Global Health,-33.96039581,22.45624352,0,1
George Mason University,38.83257294,-77.2997818,0,68
George Mason University,38.83257294,-77.2997818,1,21
George Washington University,38.89921951,-77.04801178,0,33
George Washington University,38.89921951,-77.04801178,1,11
Georgetown University,30.63746,-97.678055,0,26
Georgetown University,30.63746,-97.678055,1,13
Georgetown University Medical Center,38.91199875,-77.07700348,0,6
Georgetown University Medical Center,38.91199875,-77.07700348,1,11
Georgetown University in Qatar,25.31795311,51.44369888,0,2
Georgia Institute of Technology,33.77563477,-84.39624786,0,310
Georgia Institute of Technology,33.77563477,-84.39624786,1,145
Georgia Regents Medical Center,33.47063828,-81.98991394,1,1
Georgia Southern University,-28.648333,153.184444,0,5
Georgia Southern University,-28.648333,153.184444,1,2
Georgia State University,33.75276566,-84.38607788,0,21
Georgia State University,33.75276566,-84.38607788,1,9
Georgian Court University,40.09938049,-74.22673798,0,1
Geoscience Australia,-25.72804832,134.49017334,0,25
Geoscience Australia,-25.72804832,134.49017334,1,2
Geospatial Information Authority of Japan,36.65415573,137.9765625,0,1
Geriatric Research Education and Clinical Center,-37.70576477,145.18823242,0,1
Geriatric Research Education and Clinical Center,-37.70576477,145.18823242,1,1
German Aerospace Center,54.22027588,-4.61692858,0,104
German Aerospace Center,54.22027588,-4.61692858,1,17
German Cancer Research Center,49.41400146,8.67199993,0,55
German Cancer Research Center,49.41400146,8.67199993,1,35
German Center for Diabetes Research,-37.70576477,145.18823242,1,3
German Center for Infection Research,-37.70576477,145.18823242,0,4
German Center for Lung Research,-37.70576477,145.18823242,0,3
German Center for Lung Research,-37.70576477,145.18823242,1,1
German Center for Neurodegenerative Diseases,54.22027588,-4.61692858,0,20
German Center for Neurodegenerative Diseases,54.22027588,-4.61692858,1,4
German Centre for Integrative Biodiversity Research,34.15884399,-85.66727448,0,5
German Centre for Integrative Biodiversity Research,34.15884399,-85.66727448,1,4
German Climate Computing Centre,34.15884399,-85.66727448,0,2
German Federal Environment Agency,-30.955496,-58.78022,0,1
German Federal Environment Agency,-30.955496,-58.78022,1,1
German Graduate School of Management and Law,49.14680099,9.2175703,0,1
German Institute for Economic Research,52.51221848,13.38869953,0,2
German Institute of Development and Sustainability,54.22027588,-4.61692858,0,1
German Jordanian University,31.77695847,35.80136871,0,6
German Jordanian University,31.77695847,35.80136871,1,1
German Meteorological Service,54.22027588,-4.61692858,0,2
German Meteorological Service,54.22027588,-4.61692858,1,1
German Primate Center,51.56172943,9.95464993,0,1
German Primate Center,51.56172943,9.95464993,1,2
German Research Centre for Artificial Intelligence,49.42944336,7.75194454,0,61
German Research Centre for Artificial Intelligence,49.42944336,7.75194454,1,4
German Research Institute for Public Administration,49.31641388,8.4163084,1,1
German Sport University Cologne,50.93463516,6.86962223,0,2
German Sport University Cologne,50.93463516,6.86962223,1,1
German University in Cairo,48.763382,11.424511,0,3
German University of Technology,23.63661766,58.04812241,0,1
Gesellschaft Fur Mathematik Und Datenverarbeitung,47.92106628,-97.06554413,0,1
"Gestion de l'Eau, Acteurs, Usages",39.00876236,-75.46864319,0,1
Getty Research Institute,34.07749939,-118.47499847,1,1
Ghana Institute of Management and Public Administration,5.63612652,-0.2021338,0,1
Ghazi University,34.02089691,72.65711975,0,1
Ghent University,51.04679489,3.72761607,0,152
Ghent University,51.04679489,3.72761607,1,55
Ghent University Global Campus,51.04679489,3.72761607,0,1
Ghent University Hospital,51.02368927,3.72698808,0,20
Ghent University Hospital,51.02368927,3.72698808,1,17
Gheorghe Asachi Technical University of Iași,47.16156006,27.5837822,0,3
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,34.06869888,72.64489746,0,3
Giessen School of Theology,50.58516312,8.67710018,0,2
Gifu Prefectural Tajimi Hospital,35.42620468,136.75976563,1,2
Gifu University,35.46405029,136.73893738,0,4
Gifu University,35.46405029,136.73893738,1,2
Gilead Sciences (United States),39.50357056,-99.01834106,0,2
Giresun University,40.916908,38.38721,0,1
Gist (Czechia),49.978711,18.195786,1,1
Gladstone Institutes,-23.84286499,151.25550842,0,1
Gladstone Institutes,-23.84286499,151.25550842,1,1
Glanrhyd Hospital,51.52647018,-3.58610773,0,5
Glanrhyd Hospital,51.52647018,-3.58610773,1,1
Glasgow Caledonian University,55.86701584,-4.25021935,0,29
Glasgow Caledonian University,55.86701584,-4.25021935,1,3
Glasgow Centre for Population Health,40.708366,-78.446655,0,1
Glasgow Centre for Population Health,40.708366,-78.446655,1,2
Glasgow Royal Infirmary,55.86489868,-4.23360157,0,1
Glaucoma Research Foundation,-37.70576477,145.18823242,0,1
GlaxoSmithKline (Netherlands),52.24563217,5.62691021,1,1
GlaxoSmithKline (United Kingdom),53.9438324,-2.55056405,0,5
GlaxoSmithKline (United States),39.50357056,-99.01834106,0,1
GlaxoSmithKline (United States),39.50357056,-99.01834106,1,2
Glenfield Hospital,52.65522003,-1.17988455,0,1
GlobVision (Canada),62.57398605,-96.60810852,0,1
Global Climate Forum,41.89221954,12.48528004,0,2
Global Climate Forum,41.89221954,12.48528004,1,1
Global Energy Interconnection Research Institute North America,54.72243881,-91.32962036,0,1
Global Energy Interconnection Research Institute North America,54.72243881,-91.32962036,1,1
Global Fund for Women,24.22221756,54.68263626,0,1
Global Health Literacy Academy,38.65811157,-90.26731873,1,1
Global Institute for Water Security,31.69058228,74.97205353,0,1
Global Policy Institute,49.62345123,19.61974335,0,2
Glostrup Hospital,55.67040634,12.38896179,0,3
Glostrup Hospital,55.67040634,12.38896179,1,3
Gloucestershire Hospitals NHS Foundation Trust,51.83367157,-2.18093181,0,2
Gloucestershire Hospitals NHS Foundation Trust,51.83367157,-2.18093181,1,1
Gnowit (Canada),62.57398605,-96.60810852,1,1
Gobierno de La Rioja,42.27483368,-2.51703095,0,2
Gobierno de La Rioja,42.27483368,-2.51703095,1,2
Goddard Institute for Space Studies,37.66117477,-97.57630157,1,1
Goddard Space Flight Center,38.99269104,-76.84700012,0,13
Goddard Space Flight Center,38.99269104,-76.84700012,1,10
Goethe University Frankfurt,50.11824799,8.65140629,0,28
Goethe University Frankfurt,50.11824799,8.65140629,1,15
Gold Coast Health,-27.97240067,153.41000366,0,8
Gold Coast Health,-27.97240067,153.41000366,1,2
Gold Coast Hospital,-27.97240067,153.41000366,0,1
Golden Jubilee National Hospital,55.90616989,-4.42570686,0,4
Goldsmiths University of London,51.42471313,-0.56266898,0,23
Goldsmiths University of London,51.42471313,-0.56266898,1,4
Goldwind (China),36.55937195,103.7533493,0,1
Gomal University,32.396887,68.892597,0,4
Gono University,23.92840004,90.24469757,0,1
Gonzaga University,47.66659927,-117.40227509,0,1
Good Samaritan Medical Center,26.72524452,-80.05162811,1,1
Goodyear (United States),33.44619751,-112.35826874,0,1
Google (Canada),62.57398605,-96.60810852,0,1
Google (Israel),30.81242561,34.859478,0,3
Google (Israel),30.81242561,34.859478,1,1
Google (Switzerland),46.80123901,8.23096466,0,14
Google (Switzerland),46.80123901,8.23096466,1,2
Google (United Kingdom),53.9438324,-2.55056405,0,8
Google (United Kingdom),53.9438324,-2.55056405,1,1
Google (United States),39.50357056,-99.01834106,0,652
Google (United States),39.50357056,-99.01834106,1,161
Googol Technology (China),36.55937195,103.7533493,0,1
Gordon Center for Medical Imaging,42.36280441,-71.06863403,0,4
Gordon Center for Medical Imaging,42.36280441,-71.06863403,1,6
Gorgan University of Agricultural Sciences and Natural Resources,36.84326935,54.43954468,0,4
Gorgan University of Agricultural Sciences and Natural Resources,36.84326935,54.43954468,1,1
Goshen College,41.56236649,-85.82397461,0,1
"Gouvernance, Risque, Environnement, Développement",36.73311615,10.2103653,0,1
"Gouvernance, Risque, Environnement, Développement",36.73311615,10.2103653,1,1
"Government College University, Faisalabad",31.41491699,73.06937408,0,6
Government College Women University Faisalabad,31.49555016,73.07361603,0,1
Government Medical College,18.09215927,78.82133484,0,6
Government Sadiq College Women University,25.13563347,85.4458313,0,1
Government of Alberta,55.16930771,-114.51179504,0,1
Government of Gujarat,22.6926918,71.59703827,0,1
Government of Gujarat,22.6926918,71.59703827,1,1
Government of Tamil Nadu,11.01610088,78.40702057,1,1
Government of Victoria,-36.85008621,144.30429077,0,1
Government of Western Australia,-25.46652794,122.18174744,1,1
Govind Ballabh Pant Hospital,24.37652588,74.00101471,0,1
Govind Ballabh Pant University of Agriculture and Technology,30.3130703,78.40737915,1,3
Grace (United States),42.57926941,-111.73040009,0,1
Graduate Institute of International and Development Studies,46.22190094,6.15110016,0,2
Graduate School USA,37.86823273,-122.25308228,0,1
Graduate School of Computer Science and Advanced Technologies,37.86823273,-122.25308228,0,4
Graduate Theological Union,34.72129059,-81.6260376,0,6
Graduate University of Advanced Technology,-0.2934083,36.01538086,0,9
Graduate University of Advanced Technology,-0.2934083,36.01538086,1,1
GrammaTech (United States),39.50357056,-99.01834106,1,1
Gran Sasso Science Institute,42.34459305,13.39654636,0,5
Grand Valley State University,42.96448517,-85.89244843,1,1
Grandomics (China),36.55937195,103.7533493,0,1
Grandomics (China),36.55937195,103.7533493,1,2
Grandview Medical Center,39.76990128,-84.20279694,0,1
Grant Medical College and Sir Jamshedjee Jeejeebhoy Group of Hospitals,18.96414375,72.83474731,0,1
Granta Design (United Kingdom),53.9438324,-2.55056405,0,2
Granta Design (United Kingdom),53.9438324,-2.55056405,1,1
Graphic Era University,30.26746941,77.9959259,0,3
Graz University of Technology,40.945847,40.266544,0,56
Graz University of Technology,40.945847,40.266544,1,16
Great Barrier Reef Marine Park Authority,-17.18061447,146.20172119,0,1
Great Lakes Bioenergy Research Center,45.0,-84.0,1,1
Great Lakes Commission,42.309444,-87.85035,0,1
Great Lakes Institute of Management,12.57367039,80.14176178,0,1
Great Lakes Science Center,41.50736237,-81.69721985,1,1
Great North Children's Hospital,49.449331,11.079368,0,1
Great Ormond Street Hospital,51.52262115,-0.12036,0,3
Great Ormond Street Hospital,51.52262115,-0.12036,1,1
Green Mountain Radio Research (United States),39.50357056,-99.01834106,0,1
Greenerwave (France),46.62480927,2.45837498,0,1
Greenland Government,74.75653076,-41.39344025,0,1
Greenland National Museum & Archives,64.17720032,-51.74620056,0,1
Gregor Mendel Institute of Molecular Plant Biology,50.05843353,19.93425751,0,1
Greifswald University Hospital,54.08820724,13.40244675,0,1
Greifswald University Hospital,54.08820724,13.40244675,1,1
Grenoble Computer Science Laboratory,45.19425583,5.73166895,0,13
Grenoble Computer Science Laboratory,45.19425583,5.73166895,1,3
Grenoble Ecole de Management,45.18999863,5.71400023,1,1
Grenoble Images Parole Signal Automatique,45.19425583,5.73166895,0,6
Grenoble Images Parole Signal Automatique,45.19425583,5.73166895,1,4
Grenoble Institute of Neurosciences,45.19425583,5.73166895,0,5
Grenoble Institute of Neurosciences,45.19425583,5.73166895,1,1
Grenoble Institute of Technology,45.1908989,5.71700001,0,17
Grenoble Institute of Technology,45.1908989,5.71700001,1,4
Griffith University,-27.55274773,153.05186462,0,85
Griffith University,-27.55274773,153.05186462,1,29
Grigore T. Popa University of Medicine and Pharmacy,41.34236526,19.83294487,0,7
Grinnell College,41.74905777,-92.72013092,0,2
Group Health Cooperative,26.6698494,111.69727325,1,1
Group Sense (China),36.55937195,103.7533493,0,28
Group Sense (China),36.55937195,103.7533493,1,15
Groupe de Recherche Clinique en Neuro-urologie,51.226152,6.773766,0,2
Groupe de Recherche Clinique en Neuro-urologie,51.226152,6.773766,1,1
Groupe de Recherche en Agriculture Biologique,-43.54000092,146.88000488,0,1
"Groupe de Recherche en Droit, Économie, Gestion",-43.54000092,146.88000488,0,1
Groupe de Recherche en Énergie Électrique de Nancy,48.69078064,6.18246555,0,4
Groupe d’Étude de la Matière Condensée,39.00876236,-75.46864319,0,1
Groupement de Recherche en Économie Quantitative d’Aix-Marseille,43.29502106,5.37448692,0,2
Gryphon Scientific (United States),39.50357056,-99.01834106,0,1
Grünenthal Group (Germany),54.203227,-4.642424,0,1
Guangdong Academy of Agricultural Sciences,23.34560585,113.43036652,0,1
Guangdong Academy of Medical Sciences,23.34560585,113.43036652,0,6
Guangdong Academy of Medical Sciences,23.34560585,113.43036652,1,4
Guangdong General Hospital,23.12820053,113.28230286,0,1
Guangdong General Hospital,23.12820053,113.28230286,1,3
Guangdong Institute of Intelligent Manufacturing,23.34560585,113.43036652,0,2
Guangdong Medical College,23.13286972,113.25546265,0,3
Guangdong Medical College,23.13286972,113.25546265,1,1
Guangdong Ocean University,21.14550018,110.30249786,0,1
Guangdong Ocean University,21.14550018,110.30249786,1,1
Guangdong Polytechnic Normal University,23.34560585,113.43036652,0,11
Guangdong Polytechnic Normal University,23.34560585,113.43036652,1,1
Guangdong Polytechnic of Science and Technology,23.14464951,113.36325073,1,1
Guangdong University Of Finances and Economics,23.34560585,113.43036652,0,1
Guangdong University Of Finances and Economics,23.34560585,113.43036652,1,1
Guangdong University of Foreign Studies,23.20030022,113.28919983,0,6
Guangdong University of Petrochemical Technology,23.34560585,113.43036652,0,4
Guangdong University of Technology,23.03899956,113.39600372,0,37
Guangdong University of Technology,23.03899956,113.39600372,1,14
Guangdong Work Injury Rehabilitation Hospital,23.34560585,113.43036652,0,1
Guangxi Academy of Sciences,23.8263588,108.79272461,0,1
Guangxi Normal University,25.28219986,110.30020142,0,12
Guangxi Normal University,25.28219986,110.30020142,1,7
Guangxi University,22.83889961,108.28450012,0,10
Guangxi University,22.83889961,108.28450012,1,1
Guangxi University for Nationalities,22.83889961,108.28450012,0,8
Guangxi University for Nationalities,22.83889961,108.28450012,1,2
Guangzhou Academy of Special Equipment Inspection and Testing,23.12907982,113.26435852,0,3
Guangzhou Center for Disease Control and Prevention,23.12907982,113.26435852,0,2
Guangzhou Chest Hospital,23.12907982,113.26435852,0,1
Guangzhou Chest Hospital,23.12907982,113.26435852,1,1
Guangzhou Education Bureau,23.12907982,113.26435852,1,1
Guangzhou HKUST Fok Ying Tung Research Institute,23.12907982,113.26435852,0,1
Guangzhou HKUST Fok Ying Tung Research Institute,23.12907982,113.26435852,1,1
Guangzhou Institute of Advanced Technology,23.12907982,113.26435852,0,5
Guangzhou Institute of Advanced Technology,23.12907982,113.26435852,1,1
Guangzhou Institute of Energy Conversion,23.12907982,113.26435852,0,1
Guangzhou Institute of Geography,23.12907982,113.26435852,0,1
Guangzhou Institutes of Biomedicine and Health,23.12907982,113.26435852,1,2
Guangzhou Marine Geological Survey,23.12907982,113.26435852,0,1
Guangzhou Medical University,23.12907982,113.26435852,0,9
Guangzhou Medical University,23.12907982,113.26435852,1,5
Guangzhou Psychiatric Hospital,23.12907982,113.26435852,0,1
Guangzhou Sport University,23.14310074,113.31639862,0,1
Guangzhou University,23.03879929,113.36920166,0,28
Guangzhou University,23.03879929,113.36920166,1,8
Guangzhou University of Chinese Medicine,23.15920067,113.26110077,0,10
Guangzhou University of Chinese Medicine,23.15920067,113.26110077,1,2
Guarulhos University,-23.46759415,-46.527771,1,3
Guerbet (France),46.62480927,2.45837498,0,1
Guilin University of Electronic Technology,25.23534966,110.17979431,0,12
Guilin University of Electronic Technology,25.23534966,110.17979431,1,4
Guilin University of Technology,-33.90242004,151.20779419,0,3
Guizhou Education University,26.8122673,106.87825012,0,1
Guizhou Electric Power Design and Research Institute,26.8122673,106.87825012,0,1
Guizhou Institute of Technology,26.8122673,106.87825012,1,1
Guizhou Normal University,40.510406,-88.98436,0,1
Guizhou University,26.42250061,106.66916656,0,27
Guizhou University,26.42250061,106.66916656,1,10
Guizhou University of Finance and Economics,39.06391907,117.27694702,0,5
Guizhou University of Finance and Economics,39.06391907,117.27694702,1,1
Gujarat Institute of Desert Ecology,23.2174015,69.65460205,0,1
Gujarat Technological University,23.10589981,72.59380341,0,1
Gujarat Technological University,23.10589981,72.59380341,1,1
Gulf University for Science & Technology,29.27390671,48.05292892,0,3
Gundersen Health System,30.27202225,-97.74087524,0,1
Gunma University,36.43027878,139.04499817,0,6
Gunma University,36.43027878,139.04499817,1,1
Gunma University Hospital,36.43027878,139.04499817,0,1
Guntur Medical College,16.29803848,80.43894196,0,1
Guru Ghasidas Vishwavidyalaya,22.13220024,82.14219666,0,1
Guru Gobind Singh Indraprastha University,28.59501648,77.01894379,0,4
Guru Gobind Singh Indraprastha University,28.59501648,77.01894379,1,1
Guru Jambheshwar University of Science and Technology,29.10000038,75.44999695,0,4
Guru Nanak Dev University,31.63747215,74.8249588,0,10
Guru Teg Bahadur Hospital,28.68308067,77.31159973,0,1
Guy's Hospital,51.50315857,-0.0869365,0,2
Guy's Hospital,51.50315857,-0.0869365,1,5
Guy's and St Thomas' NHS Foundation Trust,18.34173393,-64.93225098,0,6
Guy's and St Thomas' NHS Foundation Trust,18.34173393,-64.93225098,1,4
Gwangju Institute of Science and Technology,35.22650146,126.83999634,0,25
Gwangju Institute of Science and Technology,35.22650146,126.83999634,1,9
Gwich'in Council International,44.72919083,-116.43859863,0,1
Gyeongsang National University,35.15405655,128.0980835,0,6
Gyeongsang National University,35.15405655,128.0980835,1,1
"Gènes, synapses et cognition",44.40706253,8.93398857,0,2
Génétique Animale et Biologie Intégrative,10.21166992,38.65211868,1,1
Géosciences Rennes,48.11178207,-1.68026412,0,4
Göteborgs Stads,57.704826,11.968916,0,2
HEC Montréal,45.50351715,-73.62123871,0,10
HEC Montréal,45.50351715,-73.62123871,1,2
HEC Paris,48.8534951,2.3483915,0,1
HES-SO Fribourg,46.81199265,7.15277195,0,5
HES-SO Valais-Wallis,46.22740555,7.36452961,0,1
HHL Leipzig Graduate School of Management,51.33991623,12.35107899,0,1
HITEC University,33.72509003,72.81983185,0,2
HITEC University,33.72509003,72.81983185,1,1
HKU-Pasteur Research Pole,-35.141777,-62.24458,0,1
HR Wallingford,41.45440674,-72.81841278,0,3
HRL Laboratories (United States),39.50357056,-99.01834106,0,11
HRL Laboratories (United States),39.50357056,-99.01834106,1,1
HTW Berlin - University of Applied Sciences,52.49306107,13.52583027,0,2
HTW Berlin - University of Applied Sciences,52.49306107,13.52583027,1,1
HUN-REN Institute of Experimental Medicine,47.18175888,19.50609398,0,2
HUN-REN Research Centre for Natural Sciences,47.18175888,19.50609398,0,3
HUN-REN Research Centre for Natural Sciences,47.18175888,19.50609398,1,1
HUN-REN Szegedi Biológiai Kutatóközpont,46.25463104,20.14860153,0,9
HUN-REN Szegedi Biológiai Kutatóközpont,46.25463104,20.14860153,1,1
Haaga-Helia University of Applied Sciences,49.4516716,7.76388979,0,1
Hacettepe University,39.86722183,32.73443985,0,17
Hacettepe University,39.86722183,32.73443985,1,1
Hachinohe Institute of Technology,40.47806168,141.5625,0,1
Hackensack Meridian Health,40.88373947,-74.05591583,1,1
Hadassah Academic College,31.66941071,34.57203293,0,1
Hadassah Academic College,31.66941071,34.57203293,1,2
Hadassah Medical Center,31.795288,-94.1803,0,3
Hadassah Medical Center,31.795288,-94.1803,1,1
HafenCity University Hamburg,53.54024887,10.00545692,0,3
Haga Hospital,52.08019638,4.3101325,0,1
Haga Hospital,52.08019638,4.3101325,1,1
Hahn-Schickard-Gesellschaft für angewandte Forschung,49.96237564,7.27078247,0,1
Hahnemann University Hospital,39.95709229,-75.1634903,1,1
Hainan Normal University,19.20654678,109.76858521,0,1
Hainan University,20.06056023,110.32138824,0,6
Hainan University,20.06056023,110.32138824,1,1
Hakim Sabzevari University,36.30110168,57.67863083,0,3
Hakodate National Hospital,41.76867294,140.72892761,0,1
Hallym Polytechnic University,28.14021492,-81.84324646,0,2
Hallym University,37.45999908,126.94999695,0,3
Hallym University,37.45999908,126.94999695,1,1
Hallym University Dongtan Sacred Heart Hospital,37.45999908,126.94999695,0,1
Halmstad University,56.66324234,12.87964249,0,15
Halmstad University,56.66324234,12.87964249,1,2
Hamad General Hospital,19.41304016,-99.15193939,0,2
Hamad bin Khalifa University,25.35385513,55.39942551,0,13
Hamad bin Khalifa University,25.35385513,55.39942551,1,5
Hamamatsu Photonics (Japan),34.71084595,137.72616577,0,2
Hamamatsu Photonics (Japan),34.71084595,137.72616577,1,2
Hamamatsu University School of Medicine,34.76890564,137.74276733,1,1
Hamburg University of Technology,53.45895767,9.96908283,0,5
Hamburg University of Technology,53.45895767,9.96908283,1,1
Hamdard University,25.08367538,67.00678253,0,2
Hamedan University of Medical Sciences,34.7914238,48.48799515,0,4
Hamedan University of Medical Sciences,34.7914238,48.48799515,1,1
Hamedan University of Technology,34.7992897,48.51524734,0,1
Hamilton College,43.05363464,-75.40701294,0,1
Hammersmith Hospital,5.130843,-74.1573,0,4
Hammersmith Hospital,5.130843,-74.1573,1,2
Hampshire College,42.32476807,-72.5322876,1,1
Hampshire Hospitals NHS Foundation Trust,51.03322601,-1.19671631,0,1
Hanbat National University,36.35057068,127.30116272,0,5
Handan College,51.98914337,5.94949007,0,1
Handong Global University,36.10405731,129.38824463,0,2
Handong Global University,36.10405731,129.38824463,1,1
Hangzhou Dianzi University,30.24592018,120.21079254,0,44
Hangzhou Dianzi University,30.24592018,120.21079254,1,14
Hangzhou First People's Hospital,30.24592018,120.21079254,0,1
Hangzhou Medical College,30.24592018,120.21079254,0,5
Hangzhou Normal University,30.24592018,120.21079254,0,7
Hangzhou Normal University,30.24592018,120.21079254,1,2
Hanken School of Economics,60.17082214,24.92441559,0,5
Hanken School of Economics,60.17082214,24.92441559,1,2
Hankuk University of Foreign Studies,37.56476974,126.93936157,0,6
Hankyong National University,37.01158905,127.26428986,0,5
Hankyong National University,37.01158905,127.26428986,1,2
Hannam University,36.35449982,127.42120361,0,2
Hanoi Lung Hospital,21.03038406,105.85530853,0,2
Hanoi Medical University,21.00323105,105.83068085,1,1
Hanoi University,21.03038406,105.85530853,0,1
Hanoi University of Mining and Geology,21.07146454,105.77400208,0,13
Hanoi University of Mining and Geology,21.07146454,105.77400208,1,1
Hanoi University of Natural Resources and Environment,21.03038406,105.85530853,0,2
Hanoi University of Science and Technology,21.00638962,105.84306335,0,5
Hans Knöll Institute,38.38342285,-81.76409912,1,1
Hans-Bredow-Institute,38.38342285,-81.76409912,0,1
Hanyang Cyber University,37.55638885,127.04444122,0,1
Hanyang University,37.55638885,127.04444122,0,47
Hanyang University,37.55638885,127.04444122,1,10
Hanyang University Guri Hospital,37.55638885,127.04444122,1,1
Hanyang University Seoul Hospital,37.55638885,127.04444122,0,1
Hanyang University Seoul Hospital,37.55638885,127.04444122,1,1
Hanze University of Applied Sciences,40.945847,40.266544,0,2
Harbin Engineering University,45.759902,126.628417,0,63
Harbin Engineering University,45.759902,126.628417,1,12
Harbin Institute of Technology,45.74319839,126.63240051,0,179
Harbin Institute of Technology,45.74319839,126.63240051,1,76
Harbin Medical University,45.80335999,126.53513336,0,14
Harbin Medical University,45.80335999,126.53513336,1,11
Harbin Normal University,45.86869812,126.56030273,0,2
Harbin University,45.80335999,126.53513336,0,2
Harbin University of Commerce,24.5802002,118.09089661,0,1
Harbin University of Science and Technology,45.71409988,126.61699677,0,9
Harbin University of Science and Technology,45.71409988,126.61699677,1,6
Harborview Injury Prevention and Research Center,47.60416031,-122.32381439,0,1
Harlem Hospital Center,40.81431961,-73.9389267,0,2
Harokopio University of Athens,37.96878815,23.77435493,0,6
Harokopio University of Athens,37.96878815,23.77435493,1,1
Harper Adams University,52.77965164,-2.42751694,0,7
Harran University,36.83844757,39.19722748,0,2
Harris Birthright Research Centre for Fetal Medicine,29.76080322,-95.36950684,1,1
Harry Perkins Institute of Medical Research,-2.48926997,32.89783478,1,1
Hartford Public Schools,42.40022278,-86.27523041,0,1
Hartwick College,42.4571991,-75.07337952,0,1
Hartwig Medical Foundation,37.14321899,47.23596191,1,1
Harvard Global Health Institute,42.419792,-88.61601,0,1
Harvard Global Health Institute,42.419792,-88.61601,1,1
Harvard Pilgrim Health Care,42.37420273,-71.11627197,0,4
Harvard University,42.37420273,-71.11627197,0,250
Harvard University,42.37420273,-71.11627197,1,165
Harvard University Press,42.37420273,-71.11627197,0,68
Harvard University Press,42.37420273,-71.11627197,1,37
Harvard–MIT Division of Health Sciences and Technology,42.35925293,-71.09532166,0,10
Harvard–MIT Division of Health Sciences and Technology,42.35925293,-71.09532166,1,2
Harvey Mudd College,34.10604858,-117.7086792,0,1
Hashemite University,32.10229111,36.18610764,0,3
Haskins Laboratories,41.46450806,-83.70528412,0,8
Haskins Laboratories,41.46450806,-83.70528412,1,4
Hasselt University,50.9258194,5.38998508,0,19
Hasselt University,50.9258194,5.38998508,1,5
Hassiba Benbouali University of Chlef,36.16459274,1.33149898,0,1
Hasso Plattner Institute,52.39360809,13.13222027,0,17
Hasso Plattner Institute,52.39360809,13.13222027,1,3
Hatch (Canada),62.57398605,-96.60810852,0,1
Haukeland University Hospital,60.37413025,5.35861254,0,6
Haukeland University Hospital,60.37413025,5.35861254,1,4
